No server found, start one
Not starting broadcast server for localhost.
NS running on localhost:9090 (127.0.0.1)
URI = PYRO:Pyro.NameServer@localhost:9090
2022-10-19 21:04:02.758286 buyer1 joins to buy  fish
2022-10-19 21:04:02.760553 buyer0 joins to buy  boar
2022-10-19 21:04:02.761238 seller5 joins to sell  boar
0.022515   buyer1
0.022376   buyer0
0.029149   buyer1
0.04759   buyer0
0.015395   buyer1
0.014401   buyer0
0.007818   buyer1
0.008521   buyer0
0.010195   buyer1
0.007993   buyer0
0.012439   buyer1
0.012248   buyer0
0.008967   buyer1
0.002804   buyer0
0.016458   buyer1
0.011611   buyer0
0.007534   buyer1
0.009483   buyer0
0.006468   buyer1
0.013867   buyer0
0.012182   buyer1
0.006707   buyer0
0.0075   buyer1
0.00683   buyer0
0.007153   buyer1
0.007206   buyer0
0.005788   buyer1
0.014513   buyer0
0.012994   buyer1
0.00698   buyer0
0.003843   buyer1
0.003551   buyer0
0.002925   buyer1
0.002995   buyer0
0.003058   buyer1
0.003106   buyer0
0.00888   buyer1
0.011747   buyer0
0.015179   buyer1
0.012429   buyer0
0.003459   buyer1
0.002884   buyer0
0.004082   buyer1
0.004679   buyer0
0.003494   buyer1
0.002603   buyer0
0.010341   buyer0
0.02448   buyer1
0.01216   buyer0
0.012714   buyer1
0.012041   buyer0
0.01158   buyer1
0.009945   buyer1
0.01322   buyer0
0.005381   buyer0
0.009502   buyer1
0.010563   buyer0
0.011869   buyer1
0.010379   buyer0
0.011484   buyer1
0.010403   buyer0
0.010585   buyer1
0.011816   buyer0
0.010789   buyer1
0.009129   buyer0
0.009666   buyer1
0.014597   buyer0
0.012101   buyer1
0.013003   buyer0
0.013592   buyer1
0.011876   buyer0
0.012496   buyer1
0.019226   buyer0
0.017381   buyer1
0.012302   buyer1
0.015508   buyer0
0.001689   buyer1
0.002876   buyer0
0.015472   buyer1
0.015614   buyer0
0.013465   buyer1
0.015388   buyer0
0.007251   buyer1
0.018695   buyer0
0.013363   buyer1
0.011302   buyer0
0.009083   buyer1
0.003093   buyer0
0.014719   buyer1
0.013893   buyer0
0.012114   buyer1
0.013622   buyer0
0.012579   buyer1
0.013598   buyer0
0.007915   buyer1
0.014337   buyer0
0.012037   buyer1
0.008651   buyer0
0.005285   buyer1
0.002469   buyer0
0.012415   buyer1
0.01177   buyer0
0.013086   buyer1
0.013334   buyer0
0.005706   buyer1
0.020552   buyer0
0.010865   buyer1
0.007359   buyer0
0.007278   buyer1
0.00724   buyer0
0.005074   buyer1
0.008428   buyer0
0.014222   buyer1
0.01338   buyer0
0.01293   buyer1
0.009161   buyer0
2022-10-19 21:05:02.488774 Exception in lookup cannot schedule new futures after shutdown
0.005219   buyer1
2022-10-19 21:05:02.496525 Exception in lookup cannot schedule new futures after shutdown
0.005742   buyer0
