No server found, start one
Not starting broadcast server for localhost.
NS running on localhost:9090 (127.0.0.1)
URI = PYRO:Pyro.NameServer@localhost:9090
2022-10-19 20:54:07.283188 seller5 joins to sell  boar
2022-10-19 20:54:07.283478 buyer1 joins to buy  salt
2022-10-19 20:54:07.284608 buyer0 joins to buy  salt
2022-10-19 20:54:07.286273 buyer2 joins to buy  fish
0.009369   buyer1
0.003108   buyer2
0.006671   buyer0
0.007512   buyer1
0.0066   buyer2
0.00547   buyer0
0.006072   buyer1
0.012275   buyer2
0.018581   buyer0
0.00306   buyer1
0.003254   buyer2
0.003769   buyer0
0.011112   buyer1
0.011388   buyer0
0.040454   buyer2
0.003101   buyer1
0.003771   buyer0
0.001419   buyer2
0.00975   buyer1
0.004272   buyer2
0.028749   buyer0
0.008137   buyer1
0.00798   buyer2
0.016835   buyer0
0.007859   buyer1
0.010821   buyer2
0.014177   buyer0
0.007397   buyer1
0.003332   buyer2
0.010326   buyer0
0.007678   buyer1
0.001404   buyer2
0.003097   buyer0
0.007522   buyer1
0.013021   buyer2
0.01096   buyer0
0.004163   buyer1
0.007277   buyer2
0.005299   buyer0
0.008848   buyer1
0.004998   buyer2
0.004626   buyer0
0.007598   buyer1
0.008503   buyer2
0.008912   buyer0
0.003217   buyer1
0.001429   buyer2
0.001634   buyer0
0.008341   buyer1
0.002721   buyer2
0.004794   buyer0
0.005142   buyer1
0.007592   buyer2
0.011561   buyer0
0.003675   buyer1
0.01569   buyer2
0.006285   buyer0
0.008704   buyer1
0.008886   buyer2
0.013914   buyer0
0.009238   buyer1
0.002   buyer2
0.004605   buyer0
0.003343   buyer1
0.001665   buyer2
0.007004   buyer0
0.009675   buyer1
0.001247   buyer2
0.004314   buyer0
0.009887   buyer1
0.003977   buyer2
0.006258   buyer0
0.004472   buyer1
0.005679   buyer2
0.003243   buyer0
0.003612   buyer1
0.00777   buyer2
0.011175   buyer0
0.008229   buyer1
0.009794   buyer2
0.010937   buyer0
0.007457   buyer1
0.008794   buyer2
0.014966   buyer0
0.007876   buyer1
0.00404   buyer2
0.011673   buyer0
0.007851   buyer1
0.009162   buyer2
0.010433   buyer0
0.008814   buyer1
0.009371   buyer2
0.004806   buyer0
0.00854   buyer1
0.013941   buyer2
0.015316   buyer0
0.009229   buyer1
0.007188   buyer2
0.012218   buyer0
0.011452   buyer1
0.005523   buyer2
0.006401   buyer0
0.008457   buyer1
0.00424   buyer2
0.015033   buyer0
0.007973   buyer1
0.003813   buyer2
0.011893   buyer0
0.008717   buyer1
0.004185   buyer2
0.01048   buyer0
0.007617   buyer1
0.008851   buyer2
0.011865   buyer0
0.007739   buyer1
0.007422   buyer2
0.010767   buyer0
0.007823   buyer1
0.004234   buyer2
0.004372   buyer0
0.007337   buyer1
0.008983   buyer2
0.013384   buyer0
0.00749   buyer1
0.008838   buyer2
0.010037   buyer0
0.007516   buyer1
0.009475   buyer2
0.010599   buyer0
0.00825   buyer1
0.008763   buyer2
0.010362   buyer0
0.007264   buyer1
0.003992   buyer2
0.011403   buyer0
0.007797   buyer1
0.011157   buyer2
0.010834   buyer0
0.007563   buyer1
0.007208   buyer2
0.005297   buyer0
0.007674   buyer1
0.004328   buyer2
0.010843   buyer0
0.007689   buyer1
0.003781   buyer2
0.005153   buyer0
0.007406   buyer1
0.00986   buyer2
0.014656   buyer0
0.007301   buyer1
0.0156   buyer2
0.011177   buyer0
0.007568   buyer1
0.00793   buyer2
0.004944   buyer0
0.007804   buyer1
0.009464   buyer2
0.013938   buyer0
0.008227   buyer1
0.00737   buyer2
0.012551   buyer0
0.007395   buyer1
0.003863   buyer2
0.015481   buyer0
0.007513   buyer1
0.00375   buyer2
0.0125   buyer0
0.008375   buyer1
0.010379   buyer2
0.014201   buyer0
0.007791   buyer1
0.00693   buyer2
0.004934   buyer0
0.007719   buyer1
0.003839   buyer2
0.014519   buyer0
0.007276   buyer1
0.010308   buyer2
0.005304   buyer0
0.007351   buyer1
0.007688   buyer2
0.013818   buyer0
0.007731   buyer1
0.001633   buyer2
0.010165   buyer0
0.007317   buyer1
0.003665   buyer2
0.010833   buyer0
0.008478   buyer1
0.00947   buyer2
0.010131   buyer0
0.007272   buyer1
0.007632   buyer2
0.010306   buyer0
0.007422   buyer1
0.004098   buyer2
0.004927   buyer0
0.007299   buyer1
0.005227   buyer2
0.013355   buyer0
0.007572   buyer1
0.006953   buyer2
0.010129   buyer0
0.008556   buyer1
0.003943   buyer2
0.010111   buyer0
0.007593   buyer1
